Sentence,Sentiment,cleaned_text,encoded_sentiment,stematized_text,lemmatized_text
$FB gone green on day,positive,fb gone green on day,1,fb gone green on day,fb gone green on day
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive,msft sql server revenue grew doubledigit with sql server premium revenue growing over  httpstkscoirf,1,msft sql server revenu grew doubledigit with sql server premium revenu grow over httpstkscoirf,msft sql server revenue grew doubledigit with sql server premium revenue growing over httpstkscoirf
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,aviva friends life top forecasts ahead of  billion pound merger,1,aviva friend life top forecast ahead of billion pound merger,aviva friend life top forecast ahead of billion pound merger
Shire CEO steps up drive to get Baxalta board talking,positive,shire ceo steps up drive to get baxalta board talking,1,shire ceo step up drive to get baxalta board talk,shire ceo step up drive to get baxalta board talking
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive,costco a premier retail dividend play httpstcofacnhtt cost,1,costco a premier retail dividend play httpstcofacnhtt cost,costco a premier retail dividend play httpstcofacnhtt cost
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,stockmann and swedish sector company ab lindex entered into an agreement on september     whereby stockmann  or a whollyowned subsidiary of it  will make a public tender offer for all of lindex s issued shares ,1,stockmann and swedish sector compani ab lindex enter into an agreement on septemb wherebi stockmann or a whollyown subsidiari of it will make a public tender offer for all of lindex s issu share,stockmann and swedish sector company ab lindex entered into an agreement on september whereby stockmann or a whollyowned subsidiary of it will make a public tender offer for all of lindex s issued share
`` We are pleased to welcome Tapeks Noma into Cramo group .,positive, we are pleased to welcome tapeks noma into cramo group ,1,we are pleas to welcom tapek noma into cramo group,we are pleased to welcome tapeks noma into cramo group
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,royal dutch shell to buy bg group for nearly  billion,1,royal dutch shell to buy bg group for nearli billion,royal dutch shell to buy bg group for nearly billion
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,the item included restructuring costs of eur  m  while a year earlier they were eur  m diluted eps stood at eur  versus a loss per share of eur  ,1,the item includ restructur cost of eur m while a year earlier they were eur m dilut ep stood at eur versu a loss per share of eur,the item included restructuring cost of eur m while a year earlier they were eur m diluted eps stood at eur versus a loss per share of eur
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,aapl afternoon selloff as usual will be brutal get ready to lose a ton of money,0,aapl afternoon selloff as usual will be brutal get readi to lose a ton of money,aapl afternoon selloff a usual will be brutal get ready to lose a ton of money
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,tsla recalling pretty much every single model x cnnbrk got to short that even at work you jump in money trade,0,tsla recal pretti much everi singl model x cnnbrk got to short that even at work you jump in money trade,tsla recalling pretty much every single model x cnnbrk got to short that even at work you jump in money trade
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,dolce  gabbana has asked the european union to declare marimekko corporation s  unikko  floral pattern trademark invalid  in a continuing dispute between the two companies ,0,dolc gabbana ha ask the european union to declar marimekko corpor s unikko floral pattern trademark invalid in a continu disput between the two compani,dolce gabbana ha asked the european union to declare marimekko corporation s unikko floral pattern trademark invalid in a continuing dispute between the two company
InterContinental Hotels first-quarter global room revenue lags estimates,negative,intercontinental hotels firstquarter global room revenue lags estimates,0,intercontinent hotel firstquart global room revenu lag estim,intercontinental hotel firstquarter global room revenue lag estimate
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",positive,according to finnish pension insurance company varma  varma was the recipient of over two thirds of the revenue of the earningsrelated pension cover that was under competitive tendering in finland ,1,accord to finnish pension insur compani varma varma wa the recipi of over two third of the revenu of the earningsrel pension cover that wa under competit tender in finland,according to finnish pension insurance company varma varma wa the recipient of over two third of the revenue of the earningsrelated pension cover that wa under competitive tendering in finland
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,a portion    million  will be recorded as part of its winnings in a prior patent dispute with finnish phone maker nokia oyj ,1,a portion million will be record as part of it win in a prior patent disput with finnish phone maker nokia oyj,a portion million will be recorded a part of it winning in a prior patent dispute with finnish phone maker nokia oyj
"L&G still paying price for dividend cut during crisis, chief says",negative,lg still paying price for dividend cut during crisis chief says,0,lg still pay price for dividend cut dure crisi chief say,lg still paying price for dividend cut during crisis chief say
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,the company also estimates the already carried out investments to lead to an increase in its net sales for  from  when they reached eur  million ,1,the compani also estim the alreadi carri out invest to lead to an increas in it net sale for from when they reach eur million,the company also estimate the already carried out investment to lead to an increase in it net sale for from when they reached eur million
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,the six breweries recorded a  percent growth in domestic beer sales last year to  million liters  from  million liters sold in  ,1,the six breweri record a percent growth in domest beer sale last year to million liter from million liter sold in,the six brewery recorded a percent growth in domestic beer sale last year to million liter from million liter sold in
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,in augustoctober   the company s result before taxes totalled eur  mn  up from eur  mn in the corresponding period in  ,1,in augustoctob the compani s result befor tax total eur mn up from eur mn in the correspond period in,in augustoctober the company s result before tax totalled eur mn up from eur mn in the corresponding period in
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,systeemitiimi s sales and project resources will also be strengthened  director paul skogberg said ,1,systeemitiimi s sale and project resourc will also be strengthen director paul skogberg said,systeemitiimi s sale and project resource will also be strengthened director paul skogberg said
Tesco share price jumps as Q3 sales top estimates,positive,tesco share price jumps as q sales top estimates,1,tesco share price jump as q sale top estim,tesco share price jump a q sale top estimate
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,the price for logs has clearly improved from  and also the price of pulpwood has gone up ,1,the price for log ha clearli improv from and also the price of pulpwood ha gone up,the price for log ha clearly improved from and also the price of pulpwood ha gone up
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,vips similar pattern like beginning of may did u sell same nowwill go up much higher after this drop,1,vip similar pattern like begin of may did u sell same nowwil go up much higher after thi drop,vip similar pattern like beginning of may did u sell same nowwill go up much higher after this drop
AstraZeneca profit down as sales of stalwarts fade,negative,astrazeneca profit down as sales of stalwarts fade,0,astrazeneca profit down as sale of stalwart fade,astrazeneca profit down a sale of stalwart fade
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,rt andrewnyquist chartology yahoo httpstkscoitr yhoo  crazy looking chart but nearing breakout resistance line,1,rt andrewnyquist chartolog yahoo httpstkscoitr yhoo crazi look chart but near breakout resist line,rt andrewnyquist chartology yahoo httpstkscoitr yhoo crazy looking chart but nearing breakout resistance line
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,most bullish stocks on twitter during this dip yhoo gdx googl stz gold ew vz celg sbux scty more httpstcoiuzjelfwt,1,most bullish stock on twitter dure thi dip yhoo gdx googl stz gold ew vz celg sbux scti more httpstcoiuzjelfwt,most bullish stock on twitter during this dip yhoo gdx googl stz gold ew vz celg sbux scty more httpstcoiuzjelfwt
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative,finnish geosentric s net sales decreased to eur  in januarymarch  ,0,finnish geosentr s net sale decreas to eur in januarymarch,finnish geosentric s net sale decreased to eur in januarymarch
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,more staff has been recruited in japan to further complement its network of close to  service locations in more than  countries worldwide ,1,more staff ha been recruit in japan to further complement it network of close to servic locat in more than countri worldwid,more staff ha been recruited in japan to further complement it network of close to service location in more than country worldwide
US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,us sanctions put gazpromshell alliance plans in jeopardy,0,us sanction put gazpromshel allianc plan in jeopardi,u sanction put gazpromshell alliance plan in jeopardy
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,profit for the period was eur  mn  up from eur  mn ,1,profit for the period wa eur mn up from eur mn,profit for the period wa eur mn up from eur mn
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,however  sales returned to growth in apriljune   ceo pekka eloholma said ,1,howev sale return to growth in apriljun ceo pekka eloholma said,however sale returned to growth in apriljune ceo pekka eloholma said
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the kauhava plant  according to the company ,0,chang in the market situat and tougher price competit have substanti reduc demand for bread packag manufactur at the kauhava plant accord to the compani,change in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the kauhava plant according to the company
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,the brazilian unit of finnish security solutions provider fsecure signed up  new clients last year  online news source reseller web quoted the division s commercial director  vladimir brandúo  as saying ,1,the brazilian unit of finnish secur solut provid fsecur sign up new client last year onlin news sourc resel web quot the divis s commerci director vladimir brandúo as say,the brazilian unit of finnish security solution provider fsecure signed up new client last year online news source reseller web quoted the division s commercial director vladimir brandúo a saying
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,dealers said the share was largely hit by investor disappointment about a refining margin of just  usd per barrel for the quarter and the performance of its shipping unit  which saw ebit drop to  mln eur from  mln eur a year amid a fall in volumes and tanker rates ,0,dealer said the share wa larg hit by investor disappoint about a refin margin of just usd per barrel for the quarter and the perform of it ship unit which saw ebit drop to mln eur from mln eur a year amid a fall in volum and tanker rate,dealer said the share wa largely hit by investor disappointment about a refining margin of just usd per barrel for the quarter and the performance of it shipping unit which saw ebit drop to mln eur from mln eur a year amid a fall in volume and tanker rate
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,in september   the finnish group agreed to buy danish company rose poultry as for up to eur  m in a combination of cash and stock ,1,in septemb the finnish group agre to buy danish compani rose poultri as for up to eur m in a combin of cash and stock,in september the finnish group agreed to buy danish company rose poultry a for up to eur m in a combination of cash and stock
$YANG Double bottom 5.2,positive,yang double bottom ,1,yang doubl bottom,yang double bottom
Tesco share price down as grocer faces SFO investigation outcome,negative,tesco share price down as grocer faces sfo investigation outcome,0,tesco share price down as grocer face sfo investig outcom,tesco share price down a grocer face sfo investigation outcome
$aapl news is becoming very bullish again http://stks.co/tMU,positive,aapl news is becoming very bullish again httpstkscotmu,1,aapl news is becom veri bullish again httpstkscotmu,aapl news is becoming very bullish again httpstkscotmu
$TSLA recall,negative,tsla recall,0,tsla recal,tsla recall
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive,hargreaves lansdown bucks weak markets to see assets rise  percent,1,hargreav lansdown buck weak market to see asset rise percent,hargreaves lansdown buck weak market to see asset rise percent
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative,at  pm  the omx helsinki  index was  pct lower at  ,0,at pm the omx helsinki index wa pct lower at,at pm the omx helsinki index wa pct lower at
Aberdeen Asset Management Gains Foothold In China,positive,aberdeen asset management gains foothold in china,1,aberdeen asset manag gain foothold in china,aberdeen asset management gain foothold in china
$GOOGL is a short below 740 into the upper BB and is overbought,negative,googl is a short below  into the upper bb and is overbought,0,googl is a short below into the upper bb and is overbought,googl is a short below into the upper bb and is overbought
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,upmkymmene corp  the world s largest maker of magazine paper  on tuesday reported a percent profit drop as lower paper prices  higher costs and a strong euro hurt revenue ,0,upmkymmen corp the world s largest maker of magazin paper on tuesday report a percent profit drop as lower paper price higher cost and a strong euro hurt revenu,upmkymmene corp the world s largest maker of magazine paper on tuesday reported a percent profit drop a lower paper price higher cost and a strong euro hurt revenue
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",positive,the  sq m  sq ft store in copenhagen s premier shopping district was inaugurated today  further strengthening the company s presence in nordic capitals ,1,the sq m sq ft store in copenhagen s premier shop district wa inaugur today further strengthen the compani s presenc in nordic capit,the sq m sq ft store in copenhagen s premier shopping district wa inaugurated today further strengthening the company s presence in nordic capital
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,the world s second largest stainless steel maker said net profit in the threemonth period until dec  surged to euro million us  million  or euro  us  per share  from euro million  or euro  per share  the previous year ,1,the world s second largest stainless steel maker said net profit in the threemonth period until dec surg to euro million us million or euro us per share from euro million or euro per share the previou year,the world s second largest stainless steel maker said net profit in the threemonth period until dec surged to euro million u million or euro u per share from euro million or euro per share the previous year
Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,positive,netflix grows efforts to create loyal customers nflx httpstcoqxbkobphe,1,netflix grow effort to creat loyal custom nflx httpstcoqxbkobph,netflix grows effort to create loyal customer nflx httpstcoqxbkobphe
"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",negative,the omx nordic  omxn index  comprising the  most traded nordic stocks on the nasdaq omx exchange  closed down   at  points on thursday ,0,the omx nordic omxn index compris the most trade nordic stock on the nasdaq omx exchang close down at point on thursday,the omx nordic omxn index comprising the most traded nordic stock on the nasdaq omx exchange closed down at point on thursday
$AAPL nibbling on a small long via 525.. buying off 13min charts..,positive,aapl nibbling on a small long via  buying off min charts,1,aapl nibbl on a small long via buy off min chart,aapl nibbling on a small long via buying off min chart
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative,the operating margin of aker yards cruise  ferries division went down from   to   in the first quarter of  ,0,the oper margin of aker yard cruis ferri divis went down from to in the first quarter of,the operating margin of aker yard cruise ferry division went down from to in the first quarter of
"$TYC just about to break out to new highs, lots of technicals looking great right now.",positive,tyc just about to break out to new highs lots of technicals looking great right now,1,tyc just about to break out to new high lot of technic look great right now,tyc just about to break out to new high lot of technical looking great right now
"Temporary lay-offs , affecting the entire workforce , will also be implemented .",negative,temporary layoffs  affecting the entire workforce  will also be implemented ,0,temporari layoff affect the entir workforc will also be implement,temporary layoff affecting the entire workforce will also be implemented
"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",positive,facebook near a buy point last week faces a different technical test today httpstcocllmpinm fb aapl nflx httpstcofpfbytypuy,1,facebook near a buy point last week face a differ technic test today httpstcocllmpinm fb aapl nflx httpstcofpfbytypuy,facebook near a buy point last week face a different technical test today httpstcocllmpinm fb aapl nflx httpstcofpfbytypuy
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",positive, february   finnish broadband data communication systems provider teleste oyj hel  tltv said wednesday its net profit rocketed to eur  m in  from eur  in  and it lifted its dividend proposal ,1,februari finnish broadband data commun system provid telest oyj hel tltv said wednesday it net profit rocket to eur m in from eur in and it lift it dividend propos,february finnish broadband data communication system provider teleste oyj hel tltv said wednesday it net profit rocketed to eur m in from eur in and it lifted it dividend proposal
$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,positive,free ha heeeeeere comes the pump so glad i picked up k end of day get ready for the bull ride,1,free ha heeeeeer come the pump so glad i pick up k end of day get readi for the bull ride,free ha heeeeeere come the pump so glad i picked up k end of day get ready for the bull ride
"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",positive,finnish technology group aspocomp group oyj  omx helsinki  acgv  issued its third quarter report on thursday   november   posting an operating profit of eur  m  as compared to a loss of eur  m in the third quarter of  ,1,finnish technolog group aspocomp group oyj omx helsinki acgv issu it third quarter report on thursday novemb post an oper profit of eur m as compar to a loss of eur m in the third quarter of,finnish technology group aspocomp group oyj omx helsinki acgv issued it third quarter report on thursday november posting an operating profit of eur m a compared to a loss of eur m in the third quarter of
The acquisition will have an immediate positive impact on Aspocomp 's financial result .,positive,the acquisition will have an immediate positive impact on aspocomp s financial result ,1,the acquisit will have an immedi posit impact on aspocomp s financi result,the acquisition will have an immediate positive impact on aspocomp s financial result
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",negative,finnair s passenger load factor  which measures the number of sold seats as a share of all available seats  dropped by  percentage points to   in september ,0,finnair s passeng load factor which measur the number of sold seat as a share of all avail seat drop by percentag point to in septemb,finnair s passenger load factor which measure the number of sold seat a a share of all available seat dropped by percentage point to in september
RT @bman1 $LNG looks primed also $EGHT poised to run too...,positive,rt bman lng looks primed also eght poised to run too,1,rt bman lng look prime also eght pois to run too,rt bman lng look primed also eght poised to run too
It is also 7.7 pct above the 12-month volume weighted average price of the stock .,positive,it is also  pct above the month volume weighted average price of the stock ,1,it is also pct abov the month volum weight averag price of the stock,it is also pct above the month volume weighted average price of the stock
"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",positive,profit before taxes was eur  mn  up from eur  mn a year earlier ,1,profit befor tax wa eur mn up from eur mn a year earlier,profit before tax wa eur mn up from eur mn a year earlier
$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,positive,crm sep  calls are  since entry bang httpstkscodedm,1,crm sep call are sinc entri bang httpstkscodedm,crm sep call are since entry bang httpstkscodedm
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",negative,in januaryjune   diluted loss per share stood at eur  versus eur  in the first half of  ,0,in januaryjun dilut loss per share stood at eur versu eur in the first half of,in januaryjune diluted loss per share stood at eur versus eur in the first half of
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,positive,rapala said it estimates it will make savings of  mln eur a year by centralising its french operations at one site ,1,rapala said it estim it will make save of mln eur a year by centralis it french oper at one site,rapala said it estimate it will make saving of mln eur a year by centralising it french operation at one site
$VMW  Got a nice push today following small sweepers of May C this morning,positive,vmw  got a nice push today following small sweepers of may c this morning,1,vmw got a nice push today follow small sweeper of may c thi morn,vmw got a nice push today following small sweeper of may c this morning
That topped consensus forecasts for earnings of 0.21 euros a share .,positive,that topped consensus forecasts for earnings of  euros a share ,1,that top consensu forecast for earn of euro a share,that topped consensus forecast for earnings of euro a share
"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",positive,in future  the company intends to look for knowhow from outside the company and to cooperate with other actors in the sector ,1,in futur the compani intend to look for knowhow from outsid the compani and to cooper with other actor in the sector,in future the company intends to look for knowhow from outside the company and to cooperate with other actor in the sector
$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,positive,ctrp  breaking out here on good vol and a parser buy signal  noticed this on bob langs comments looking for  fast,1,ctrp break out here on good vol and a parser buy signal notic thi on bob lang comment look for fast,ctrp breaking out here on good vol and a parser buy signal noticed this on bob langs comment looking for fast
"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",negative,the pulp production in finnish kemijñrvi will also be liquidated and about  employees loose their jobs ,0,the pulp product in finnish kemijñrvi will also be liquid and about employe loos their job,the pulp production in finnish kemijñrvi will also be liquidated and about employee loose their job
"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA",negative,tesla is recalling  model x cars httpstcozbkvstl tsla,0,tesla is recal model x car httpstcozbkvstl tsla,tesla is recalling model x car httpstcozbkvstl tsla
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,adjusted for changes in the group structure  the division s net sales increased by   ,1,adjust for chang in the group structur the divis s net sale increas by,adjusted for change in the group structure the division s net sale increased by
The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,positive,the amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the company ,1,the amend of the propos simplifi the propos plan and increas the incent for key employe to stay in the compani,the amending of the proposal simplifies the proposed plan and increase the incentive for key employee to stay in the company
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",negative,operating loss totalled eur  mn  compared to a profit of eur  mn in the third quarter of  ,0,oper loss total eur mn compar to a profit of eur mn in the third quarter of,operating loss totalled eur mn compared to a profit of eur mn in the third quarter of
"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",positive,on fedday looking for a sharp move up in equities aapl hd low fb seeing uvxy tvix getting hammered even though market is down,1,on fedday look for a sharp move up in equiti aapl hd low fb see uvxi tvix get hammer even though market is down,on fedday looking for a sharp move up in equity aapl hd low fb seeing uvxy tvix getting hammered even though market is down
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,net sales totaled eur  mn  up from eur  mn in the corresponding period in  ,1,net sale total eur mn up from eur mn in the correspond period in,net sale totaled eur mn up from eur mn in the corresponding period in
CEO Erkki J+ñrvinen is happy with the company 's performance in 2010 .,positive,ceo erkki jñrvinen is happy with the company s performance in  ,1,ceo erkki jñrvinen is happi with the compani s perform in,ceo erkki jñrvinen is happy with the company s performance in
"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",positive,comparable net sales are expected to increase more than   in   in line with group target ,1,compar net sale are expect to increas more than in in line with group target,comparable net sale are expected to increase more than in in line with group target
"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",positive,following the transaction  lundbeck has worldwide rights for nalmefene  excluding north america  mexico  turkey and southkorea ,1,follow the transact lundbeck ha worldwid right for nalmefen exclud north america mexico turkey and southkorea,following the transaction lundbeck ha worldwide right for nalmefene excluding north america mexico turkey and southkorea
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",positive,both operating profit and net sales for the threemonth period increased  respectively from eur  m and eurm  as compared to the corresponding quarter in  ,1,both oper profit and net sale for the threemonth period increas respect from eur m and eurm as compar to the correspond quarter in,both operating profit and net sale for the threemonth period increased respectively from eur m and eurm a compared to the corresponding quarter in
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,commission income increased by   to eur  mn  and lending volume rose by   ,1,commiss incom increas by to eur mn and lend volum rose by,commission income increased by to eur mn and lending volume rose by
"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn .",negative,in the building and home improvement trade  sales decreased by   to eur  mn ,0,in the build and home improv trade sale decreas by to eur mn,in the building and home improvement trade sale decreased by to eur mn
The main strength of the cooperation project lies in merging the know-how of two large companies .,positive,the main strength of the cooperation project lies in merging the knowhow of two large companies ,1,the main strength of the cooper project lie in merg the knowhow of two larg compani,the main strength of the cooperation project lie in merging the knowhow of two large company
Kazgiprotsvetmet and Outotec Finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in Kazakhstan and the surrounding countries .,positive,kazgiprotsvetmet and outotec finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in kazakhstan and the surrounding countries ,1,kazgiprotsvetmet and outotec finland have sign an agreement on strateg cooper in the market and provid of miner process and metallurg plant and relat servic in kazakhstan and the surround countri,kazgiprotsvetmet and outotec finland have signed an agreement on strategic cooperation in the marketing and providing of mineral processing and metallurgical plant and related service in kazakhstan and the surrounding country
